tag;necessary;paired;ignore
!-- --;0;0;0
!DOCTYPE html;1;0;0
a;0;1;1
abbr;0;1;1
address;0;1;1
area;0;0;0
article;0;1;1
aside;0;1;1
audio;0;1;0
b;0;1;1
base;0;0;0
bdi;0;1;1
bdo;0;1;1
blockquote;0;1;1
body;1;1;0
br;0;0;0
button;0;1;1
canvas;0;1;0
caption;0;1;1
cite;0;1;1
code;0;1;1
col;0;0;0
colgroup;0;1;0
data;0;1;1
datalist;0;1;0
dd;0;1;1
del;0;1;1
details;0;1;1
dfn;0;1;1
dialog;0;1;1
div;0;1;
dl;0;1;1
dt;0;1;1
em;0;1;1
embed;0;0;0
fieldset;0;1;0
figcaption;0;1;1
figure;0;1;0
footer;0;1;1
form;0;1;0
h1;0;1;1
h2;0;1;1
h3;0;1;1
h4;0;1;1
h5;0;1;1
h6;0;1;1
head;1;1;0
header;0;1;1
hgroup;0;1;0
hr;0;0;0
html;1;1;0
i;0;1;1
iframe;0;1;0
img;0;0;0
input;0;0;0
ins;0;1;1
kbd;0;1;1
label;0;1;1
legend;0;1;1
li;0;1;1
link;0;0;0
main;0;1;1
map;0;1;0
mark;0;1;1
menu;0;1;0
meta;1;0;0
meter;0;1;1
nav;0;1;1
noscript;0;1;1
object;0;1;0
ol;0;1;0
optgroup;0;1;0
option;0;1;1
output;0;1;1
p;0;1;1
param;0;0;0
picture;0;1;0
pre;0;1;1
progress;0;1;0
q;0;1;1
rp;0;1;1
rt;0;1;1
ruby;0;1;1
s;0;1;1
samp;0;1;1
script;0;1;1
search;0;1;0
section;0;1;1
select;0;1;1
small;0;1;1
source;0;0;0
span;0;1;1
strong;0;1;1
style;0;1;0
sub;0;1;1
summary;0;1;1
sup;0;1;1
svg;0;1;0
table;0;1;0
tbody;0;1;0
td;0;1;1
template;0;1;0
textarea;0;1;0
tfoot;0;1;0
th;0;1;1
thead;0;1;0
time;0;1;1
title;1;1;1
tr;0;1;0
track;0;0;0
u;0;1;1
ul;0;1;0
var;0;1;1
video;0;1;0
wbr;0;0;0
